	Kingdom	Phylum	Class	Order	Family	Genus	Species
>ASV_6892	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
>ASV_6893	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
>ASV_6894	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	NA
>ASV_6895	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
>ASV_6896	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
>ASV_6897	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
>ASV_6898	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
>ASV_6899	Bacteria	NA	NA	NA	NA	NA	NA
>ASV_6900	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	NA
>ASV_6901	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
>ASV_6902	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
>ASV_6903	Bacteria	Chloroflexi	TK17	NA	NA	NA	NA
>ASV_6904	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
>ASV_6905	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	NA	NA
>ASV_6906	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	NA
>ASV_6907	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
>ASV_6908	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas	NA
>ASV_6909	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
>ASV_6910	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	NA	NA
>ASV_6911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
>ASV_6912	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
>ASV_6913	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	NA
>ASV_6914	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6915	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	NA
>ASV_6916	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
>ASV_6917	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
>ASV_6918	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6919	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
>ASV_6920	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ascidiimonas	NA
>ASV_6921	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA
>ASV_6922	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Kistimonas	NA
>ASV_6923	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Oleiagrimonas	NA
>ASV_6924	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	NA	NA	NA	NA
>ASV_6925	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6926	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	NA	NA	NA
>ASV_6927	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
>ASV_6928	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
>ASV_6929	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
>ASV_6930	Bacteria	NB1-j	NA	NA	NA	NA	NA
>ASV_6931	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
>ASV_6932	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
>ASV_6933	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	NA
>ASV_6934	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA
>ASV_6935	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Halomicronema TFEP1	NA
>ASV_6936	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	NA
>ASV_6937	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	NA	NA
>ASV_6938	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	NA	NA
>ASV_6939	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	NA
>ASV_6940	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	NA	NA
>ASV_6941	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA	NA
>ASV_6942	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
>ASV_6943	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	NA
>ASV_6944	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	NA
>ASV_6945	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Euzebyella	saccharophila
>ASV_6946	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccus	NA
>ASV_6947	Bacteria	NA	NA	NA	NA	NA	NA
>ASV_6948	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
>ASV_6949	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA
>ASV_6950	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
>ASV_6951	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
>ASV_6952	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	NA	NA	NA
>ASV_6953	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	NA
>ASV_6954	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Persicirhabdus	NA
>ASV_6955	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	NA	NA
>ASV_6956	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
>ASV_6957	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA
>ASV_6958	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA
>ASV_6959	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Geminobacterium	NA
>ASV_6960	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
>ASV_6961	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6962	Bacteria	Proteobacteria	Gammaproteobacteria	HglApr721	NA	NA	NA
>ASV_6963	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
>ASV_6964	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
>ASV_6965	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA
>ASV_6966	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
>ASV_6967	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
>ASV_6968	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	NA
>ASV_6969	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade	NA
>ASV_6970	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6971	Bacteria	Chloroflexi	Dehalococcoidia	SAR202 clade	NA	NA	NA
>ASV_6972	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	NA	NA
>ASV_6973	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	EC94	NA	NA
>ASV_6974	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
>ASV_6975	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	NA
>ASV_6976	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
>ASV_6977	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Haloferula	harenae
>ASV_6978	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
>ASV_6979	Bacteria	NA	NA	NA	NA	NA	NA
>ASV_6980	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6981	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
>ASV_6982	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	NA	NA
>ASV_6983	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	NA	NA
>ASV_6984	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
>ASV_6985	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Urania-1B-19 marine sediment group	NA
>ASV_6986	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
>ASV_6987	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA	NA
