	GW3005	GW3010	GW3014	GW3018	GW3030	GW3047	GW3065	GW3068	GW3074	GW3077	GW3078	GW3092	GW3107	GW3108	GW3119	GW3122	GW3123	GW3124	GW3125	GW3127	GW3134	GW3145	GW3217	GW3232	GW3233	GW3234	GW3236	GW3240	GW3246	GW3248	GW3250	GW3257	GW3263	GW3265	GW3294	GW3314	GW3320	GW3364	GW3387	GW3389	GW3390	GW3398	GW3405	GW3406	GW3407	GW3409	GW3410	GW3413	GW3415	GW3420	GW3430	GW3434	GW3443	GW3448	GW3479	GW3487	GW3488	GW3490	GW3491	GW3496	GW3523	GW3528	GW3543	GW3574	GW3576	GW3582	GW4082	GW4094	GW4109	GW4146	GW4147	GW4187	GW4191	GW4193	GW4194	GW4229	GW4246	GW4249	GW4253	GW4283	GW4284	GW4285	GW4286	GW4293	GW4298	GW4299	GW4301	GW4305	GW4310	GW4339	GW4340	GW4374	GW4377	GW4409	GW4420	GW4431	GW4433	GW4434	GW4436	GW4439	GW4440	GW4476	GW4507	GW5796	GW5831	GW5850	GW5854	GW5871	GW5876	GW5878	GW5888	GW5889	GW5894	GW5907	GW5910	GW5915	GW5926	GW5930	GW5936	GW5943	GW5967	GW5970	GW5971	GW5973	GW5998	GW6015	GW6016	GW6018	GW6026	GW6053	GW6084	GW6087	GW6100	GW6114	GW6134	GW6139	GW6141	GW6169	GW6176	GW6186	GW6193	GW6197	GW6198	GW6202
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	1159	1143	0	469	809	1420	0	0	0	0	0	0	157	879	0	4	326	0	0	415	0	3	0	0	0	0	889	325	0	0	763	888	0	0	270	0	0	873	294	0	0	0	0	0	0	0	764	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3539	0	13	577	0	0	0	392	0	374	0	0	0	63	0	0	0	0	0	518	57	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	4	905	0	0	0	0	0	0	0	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12468	0	0	0	5886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1407	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	523	109	70	0	126	0	82	71	245	118	0	44	42	0	0	249	0	61	205	31	180	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	82	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	90	0	32	32	0	0	34	0	0	0	0	0	0	0	0	83	0	418	412	1421	58	238	1313	613	1465	754	424	2024	1059	20	26	253	20	236	0	30	426	168	50	57	57	86	57	2390	426	17	355	239	42	264	10	0	44	32	189	33	55	69	31	0	0	0	64	160	40	0	54	7	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9710	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9008	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	237	0	0	438	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	27	175	391	2724	25	0	15	486	0	0	0	0	0	74	0	0	0	0	68	0	18	0	166	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	5313	134	285	0	0	0	0	0	0	0	2866	0	0	0	0	0	0	123	0	176	0	47	37	0	0	0	0	0	550	0	876	0	0	0	0	159	0	0	292	0	0	0	0	351	33	0	91	0	54	46	1556	0	0	0	0	0	0	0
ASV_27	0	121	44	52	0	80	60	0	0	58	0	23	169	45	0	0	0	0	0	0	0	49	0	0	0	0	176	0	0	0	74	61	0	0	0	0	0	26	0	0	20	0	0	0	25	0	0	0	47	0	0	0	29	0	0	0	20	0	0	0	31	0	0	0	0	0	0	580	30	42	0	30	0	0	0	0	0	17	0	0	0	74	0	0	0	0	0	0	146	0	0	0	350	0	134	0	13556	127	51	190	29	22	0	95	0	0	0	0	0	0	0	0	1228	45	0	0	163	0	0	28	0	110	0	0	0	5	0	0	0	0	0	0	0	0	58	0	0	0	142	0	0	0	0	0
ASV_28	0	428	226	121	0	258	24	173	191	309	108	31	128	120	2	0	94	0	218	59	229	259	259	0	0	0	0	0	0	0	0	0	0	0	25	9	0	57	35	0	0	38	35	0	0	0	35	40	45	27	0	0	0	0	0	0	0	44	0	0	0	11	0	0	0	0	0	455	144	98	138	155	0	0	0	511	301	379	684	35	3	786	12	296	202	563	314	502	151	187	719	0	880	205	588	5	11	207	96	155	85	319	489	280	23	6	258	0	346	52	51	496	132	148	11	10	108	21	1592	212	0	199	106	0	190	3	0	97	7	75	7	54	35	44	7	0	0	144	104	5	0	3	0	0
ASV_29	0	356	156	121	0	177	40	143	249	214	117	0	268	151	0	0	122	0	257	158	185	215	630	0	0	0	0	0	0	0	0	0	0	0	17	0	0	56	0	0	0	0	0	0	0	0	50	59	100	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	164	140	237	132	21	0	0	391	178	284	540	37	0	579	0	231	147	260	282	588	52	139	621	0	652	218	786	0	0	254	201	146	134	285	543	764	0	0	254	0	292	13	20	189	48	102	0	0	46	0	2060	312	0	212	31	0	207	0	0	102	0	153	15	48	52	44	0	0	0	124	232	0	0	8	0	0
ASV_30	0	106	323	132	11	268	20	75	113	158	115	0	148	158	0	0	85	0	468	64	203	457	122	0	0	0	25	2	3	0	13	0	0	0	18	0	0	56	0	0	0	61	56	6	31	50	73	89	157	37	0	0	0	9	49	3	0	20	0	0	0	0	12	0	29	11	0	850	359	104	262	236	0	0	0	420	607	704	1272	79	0	716	0	479	159	551	346	511	57	367	853	0	1084	246	392	0	0	322	168	123	83	648	409	100	14	0	173	0	0	7	28	0	0	0	0	10	71	0	423	281	0	80	35	7	85	0	0	93	0	14	0	0	19	12	6	0	0	129	86	0	0	5	0	0
